facility,month,total_energy_use_kbtu,electricity_use_kwh,natural_gas_use_mcf,steam_use_k_lbs,water_use_k_gals,wastewater_use_k_gals,total_energy_cost,electricity_cost,natural_gas_cost,steam_cost,water_cost,wastewater_cost,total_utility_cost,total_emissions_tons_co_2,electricity_tons_co_2,natural_gas_tons_co_2,steam_tons_co_2,heating_degree_days,cooling_degree_days,uses_electricity_for_summer_cooling,uses_natural_gas_for_winter_heating,uses_steam_for_winter_heating,wnu_all_energy,wnu_gas,wnu_electricity,wnu_steam
Warehouse 1,2022-03-01,929236.5427171,19436.6551724209,839.415053763424,0,36,36,7387.65,1860.97,5526.68,0,250.55,370,8008.2,58.794227526883,8.3134850236582,50.4807425032248,0,667,0,Yes,Yes,,734894.723930522,659.509041578222,15270.9315454598,0
Warehouse 1,2022-05-01,253480.8972847,11518.8788177315,208.344827586187,0,25.5145,25.5145,2712.45,1149.22,1563.23,0,205.41,271.32,3189.18,17.4563191270559,4.92687788567777,12.5294412413781,0,113,58,Yes,Yes,,732228.59826596,640.112068965456,35390.2395255303,0
Warehouse 1,2022-07-01,53850.8767574,12807.0525861958,9.87666666663424,0,25.6111,25.6111,877.07,717.98,159.09,0,199.27,270.99,1347.33,6.07182112627088,5.47785814627283,0.59396297999805,0,0,284,Yes,Yes,,79654.8821049591,17.9970950703634,23336.7947653392,0
Warehouse Co of Allegheny,2022-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,Yes,,,0,0,0,0
Warehouse Co of Allegheny,2022-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,58,Yes,,,0,0,0,0
Warehouse Co of Allegheny,2022-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,Yes,,,0,0,0,0
Warehouse Settlers Ridge Dr Garage,2022-03-01,8764.4394299,2568.71026667644,0,0,0,0,311.38,311.38,0,0,0,0,311.38,1.09869389268338,1.09869389268338,0,0,667,0,Yes,,,,,,
Warehouse Settlers Ridge Dr Garage,2022-05-01,5315.8098811,1557.97475999414,0,0,0,0,202.49,202.49,0,0,0,0,202.49,0.666380080294213,0.666380080294213,0,0,113,58,Yes,,,,,,
Warehouse Settlers Ridge Dr Garage,2022-07-01,6802.6900819,1993.75442025205,0,0,0,0,116.93,116.93,0,0,0,0,116.93,0.852772628139048,0.852772628139048,0,0,0,284,Yes,,,,,,
White Oak Muse Lane,2022-03-01,16.373863,4.79890474794842,0,0,0.3647,0,8.56,8.56,0,0,22.89,0,31.45,0.00205259713660199,0.00205259713660199,0,0,667,0,,,,12.8645663973362,0,3.77038874482304,0
White Oak Muse Lane,2022-05-01,30.6992599,8.99743842321219,0,0,0.8485,0,15.86,15.86,0,0,24.02,0,39.88,0.00384840235725317,0.00384840235725317,0,0,113,58,,,,94.3194366664474,0,27.6434456818427,0
White Oak Muse Lane,2022-07-01,19.1635702,5.61652116060961,0,0,1.6146,0,15.17,15.17,0,0,25.81,0,40.98,0.00240230966385826,0.00240230966385826,0,0,0,284,,,,34.9195337271127,0,10.2343299317446,0
White Oak Storage Building,2022-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,,,,0,0,0,0
White Oak Storage Building,2022-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,58,,,,0,0,0,0
White Oak Storage Building,2022-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,,,,0,0,0,0
Warehouse Co of Allegheny,2021-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,Yes,,,0,0,0,0
1370 E Ingomar Rd,2021-10-01,0,0,0,0,0,0,0,0,0,0,0,28.36,28.36,0,0,0,0,194,34,,,,0,0,0,0
Warehouse Settlers Ridge Dr Garage,2021-08-01,7606.0938486,2229.21859572098,0,0,0,0,242.96,242.96,0,0,0,0,242.96,0.953485836198971,0.953485836198971,0,0,0,291,Yes,,,,,,
1370 E Ingomar Rd,2021-12-01,0,0,0,0,0,0,0,0,0,0,0,28.35,28.35,0,0,0,0,726,0,,,,0,0,0,0
1370 E Ingomar Rd,2022-03-01,0,0,0,0,0,0,0,0,0,0,0,28.99,28.99,0,0,0,0,667,0,,,,0,0,0,0
White Oak Muse Lane,2021-08-01,132.6392076,38.8743281359906,0,0,1.383,0,19.26,19.26,0,0,28.04,0,47.3,0.0166274053789822,0.0166274053789822,0,0,0,291,,,,235.576094928357,0,69.0434041407846,0
White Oak Storage Building,2021-08-01,193.3188115,56.6585027842907,0,0,0,0,79.39,79.39,0,0,0,0,79.39,0.0242340881279024,0.0242340881279024,0,0,0,291,,,,343.347125736004,0,100.629286558032,0
Girl Scout Building,2021-12-01,26192.1939394,0,25.4787878787938,0,0,0,166.46,0,166.46,0,0,0,166.46,1.5322433454549,0,1.5322433454549,0,726,0,,Yes,,18344.2723094776,17.8446228691416,0,0
Warehouse 3,2022-03-01,262414.1167388,3951.72562069168,242.150611790856,0,13.7386,13.7386,2074.48,408.22,1666.26,0,121.78,295.52,2491.78,16.252693477812,1.69023998593349,14.5624534918785,0,667,0,Yes,Yes,,207961.961230783,190.264452753683,3104.77964982624,0
Warehouse 3,2022-05-01,53389.3824645,2609.16833332356,43.2751946607004,0,6.6214,6.6214,648.27,268.65,379.62,0,74.53,142.42,865.22,3.71848235437102,1.11599869786582,2.6024836565052,0,113,58,Yes,Yes,,146730.997138016,132.838372192226,8016.32639251383,0
Warehouse 3,2022-07-01,12039.9701084,3423.65164674678,0.348706896595331,0,2.7767,2.7767,342.05,240.04,102.01,0,31.25,59.73,433.03,1.48534166499727,1.46437112964982,0.02097053534745,0,0,284,Yes,Yes,,15075.1583005574,0.588208413245842,6238.52016616711,0
1 Wave Pool Complex Sewage,2021-10-01,0,0,0,0,0,21094.1063,0,0,0,0,0,19102.77,19102.77,0,0,0,0,194,34,,,,0,0,0,0
1 Wave Pool Complex Sewage,2021-12-01,0,0,0,0,0,14119.8372,0,0,0,0,0,12724.88,12724.88,0,0,0,0,726,0,,,,0,0,0,0
1 Wave Pool Complex Sewage,2022-03-01,0,0,0,0,0,14049.956,0,0,0,0,0,12659.34,12659.34,0,0,0,0,667,0,,,,0,0,0,0
1 Wave Pool Complex Sewage,2022-05-01,0,0,0,0,0,25216.2468,0,0,0,0,0,22710.25,22710.25,0,0,0,0,113,58,,,,0,0,0,0
1 Wave Pool Complex Sewage,2022-07-01,0,0,0,0,0,31361.5484,0,0,0,0,0,28241.03,28241.03,0,0,0,0,0,284,,,,0,0,0,0
40th St Bridge,2020-02-01,198538.925,0,193.13125,0,5.3125,5.3125,1313.01,0,1313.01,0,115.38,50.62,1479.01,11.6145271125,0,11.6145271125,0,892,0,,Yes,,116013.841071363,112.853931003271,0,0
40th St Bridge,2020-03-01,141215.075,0,137.36875,0,4.8304,4.8304,938.02,0,938.02,0,111.19,47.41,1096.62,8.2610818875,0,8.2610818875,0,583,1,,Yes,,127482.798180651,124.010504066781,0,0
40th St Bridge,2020-05-01,59797.8895161,0,58.1691532257782,0,4.5484,4.5484,413.92,0,413.92,0,102.18,42.08,558.18,3.49817653669185,0,3.49817653669185,0,258,61,,Yes,,98946.5274114856,96.2514858088381,0,0
40th St Bridge,2020-07-01,925.2,0,0.9,0,4.1667,4.1667,7.62,0,7.62,0,97.6,41.27,146.49,0.0541242,0,0.0541242,0,0,384,,Yes,,1251.37826704545,1.21729403409091,0,0
40th St Bridge,2021-02-01,211636.9411256,0,205.872510822568,0,4.4809,4.4809,1478.63,0,1478.63,0,110.57,46.49,1635.69,12.3807610558476,0,12.3807610558476,0,1020,0,,Yes,,107970.084374673,105.029264955908,0,0
40th St Bridge,2021-11-01,119697.75,0,116.4375,0,2.0381,2.0381,777.02,0,777.02,0,66.47,25.04,868.53,7.002318375,0,7.002318375,0,712,0,,Yes,,85064.0474316594,82.7471278518087,0,0
40th St Bridge,2022-01-01,202506.6545455,0,196.990909090953,0,4.4091,4.4091,1277.62,0,1277.62,0,112.18,49.24,1439.04,11.8466392909118,0,11.8466392909118,0,1244,0,,Yes,,83193.6932799702,80.9277171984145,0,0
Boyce Park Ski Lodge,2021-10-01,92982.6,0,90.45,0,0,0,660.31,0,660.31,0,0,0,660.31,5.4394821,0,5.4394821,0,194,34,,Yes,,207750.759356725,202.092178362573,0,0
Hartwood Acres Concert Area,2022-04-01,0,0,0,0,0.4839,0,0,0,0,0,53.76,0,53.76,0,0,0,0,484,14,,,,0,0,0,0
Hartwood Acres Concert Area,2022-06-01,0,0,0,0,3.5,0,0,0,0,0,70.85,0,70.85,0,0,0,0,15,156,,,,0,0,0,0
Hartwood Acres Concert Area,2022-08-01,0,0,0,0,4.6269,0,0,0,0,0,72.63,0,72.63,0,0,0,0,0,217,,,,0,0,0,0
Hartwood Acres Concert Area,2022-10-01,0,0,0,0,0,0,0,0,0,0,58.68,0,58.68,0,0,0,0,421,0,,,,0,0,0,0
Light: S Express. Sect 18B,2022-03-01,9979.5493738,2924.83862069168,0,0,0,0,302.18,302.18,0,0,0,0,302.18,1.25101782451949,1.25101782451949,0,0,667,0,,,,,,,
Light: S Express. Sect 18B,2022-05-01,7343.0503375,2152.12495237397,0,0,0,0,222.65,222.65,0,0,0,0,222.65,0.920511188879301,0.920511188879301,0,0,113,58,,,,,,,
Light: S Express. Sect 18B,2022-07-01,7059.5876936,2069.046803517,0,0,0,0,218.01,218.01,0,0,0,0,218.01,0.884976836893898,0.884976836893898,0,0,0,284,,,,,,,
White Oak Park McClintock/Playgrnd,2022-02-01,0,0,0,0,13.3561,11.7347,0,0,0,0,551.28,-15.57,535.71,0,0,0,0,895,0,,,,0,0,0,0
White Oak Park McClintock/Playgrnd,2022-09-01,0,0,0,0,30,16.3043,0,0,0,0,779.81,160.92,940.73,0,0,0,0,95,78,,,,0,0,0,0
White Oak Park McClintock/Playgrnd,2022-11-01,0,0,0,0,17.0652,12.5,0,0,0,0,541.76,123.37,665.13,0,0,0,0,593,4,,,,0,0,0,0
Light: Suttersville Bridge,2022-04-01,689.7084067,202.141971483001,0,0,0,0,24.69,24.69,0,0,0,0,24.69,0.0864605683266522,0.0864605683266522,0,0,484,14,,,,,,,
Light: Suttersville Bridge,2022-06-01,1011.9990145,296.59994563306,0,0,0,0,35.9,35.9,0,0,0,0,35.9,0.126862321946064,0.126862321946064,0,0,15,156,,,,,,,
Light: Suttersville Bridge,2022-08-01,895.2894298,262.394322919109,0,0,0,0,29.77,29.77,0,0,0,0,29.77,0.112231824587607,0.112231824587607,0,0,0,217,,,,,,,
Light: Suttersville Bridge,2022-10-01,542.8800836,159.109051465416,0,0,0,0,17.2,17.2,0,0,0,0,17.2,0.0680544417108907,0.0680544417108907,0,0,421,0,,,,,,,
Light: 6th St Bridge,2021-12-01,15607.1118997,4574.18285454279,0,0,0,0,415.02,415.02,0,0,0,0,415.02,1.95647863891075,1.95647863891075,0,0,726,0,,,,,,,
640 Campbells Run Rd,2015-01-01,20494.6291265,6006.6322176143,0,0,0,0,573.29,573.29,0,0,0,0,573.29,2.97034570456467,2.97034570456467,0,0,1205,0,Yes,Yes,,,,,
640 Campbells Run Rd,2015-09-01,13679.851572,2892.89655172919,3.70553359678988,0,0,0,350.16,332.87,17.29,0,0,0,350.16,1.6534125461359,1.43056916669215,0.22284337944375,0,24,170,Yes,Yes,,40828.0106195258,11.0592987244399,8633.95414150104,0
640 Campbells Run Rd,2015-11-01,99995.2625057,4961.48275861665,80.8041666666342,0,0,0,588.17,305.56,282.61,0,0,0,588.17,7.31290877544433,2.45350780044628,4.85940097499805,0,481,2,Yes,Yes,,106723.722198113,86.2413000344719,5295.32994216746,0
640 Campbells Run Rd,2016-01-01,39849.6142096,6067.7357003517,18.625,0,0,0,463.54,402.75,60.79,0,0,0,463.54,3.71537429922583,2.59530404922583,1.12007025,0,1160,0,Yes,Yes,,17909.424317188,8.37054597701149,2726.99386073277,0
640 Campbells Run Rd,2018-02-01,262161.8776758,7717.33610345838,229.406932773152,0,0,0,1533.87,741.41,792.46,0,0,0,1533.87,17.0969485559552,3.30087443284343,13.7960741231118,0,717,3,Yes,Yes,,188896.292867379,165.295273069844,5560.59558956019,0
640 Campbells Run Rd,2018-09-01,19009.7767681,5046.61989762603,1.74193548385214,0,0,0,555.48,547.43,8.05,0,0,0,555.48,2.2633068719803,2.1585503558524,0.1047565161279,0,47,185,Yes,Yes,,41500.0857442308,3.80280488417368,11017.2339751759,0
640 Campbells Run Rd,2018-11-01,216498.3008229,5292.44531169402,193.035483871012,0,0,0,1189.56,567.78,621.78,0,0,0,1189.56,13.8724632226433,2.26369529360839,11.6087679290349,0,815,0,Yes,Yes,,132642.023782374,118.267058656529,3242.52270910376,0
640 Campbells Run Rd,2019-01-01,385824.7775931,8033.22540829426,348.653125,0,0,0,1913.76,709.3,1204.46,0,0,0,1913.76,24.4032888693364,3.43598723808644,20.96730163125,0,1135,0,Yes,Yes,,174740.098427536,157.905051509728,3638.24896703841,0
640 Campbells Run Rd,2019-04-01,86291.0203087,5058.37111494724,67.1516129032101,0,0,0,842.28,584.11,258.17,0,0,0,842.28,6.20194030680072,2.16357661002747,4.03836369677325,0,328,4,Yes,Yes,,140306.997408388,109.186809286456,8224.78237453416,0
640 Campbells Run Rd,2019-06-01,18066.7832467,4862.30991456624,1.43636363638132,0,0,0,565.99,558.46,7.53,0,0,0,565.99,2.1660969576428,2.0797169212781,0.0863800363647,0,31,136,Yes,Yes,,57235.6346443869,4.55040519310046,15403.8153885931,0
640 Campbells Run Rd,2019-08-01,16135.0478709,4508.29032256741,0.732258064494163,0,0,0,516.8,512.48,4.32,0,0,0,516.8,1.97233148883173,1.92829495334918,0.04403653548255,0,1,212,Yes,Yes,,39272.279555343,1.78229675211153,10973.0593476472,0
640 Campbells Run Rd,2019-10-01,66514.0619355,4730.96774194021,49,0,0,0,753.73,552.75,200.98,0,0,0,753.73,4.97030098451815,2.02353898451815,2.946762,0,298,34,Yes,Yes,,101454.681767502,74.7402768970619,7216.20079640161,0
640 Campbells Run Rd,2019-12-01,242105.7614252,6665.71260996483,213.3875,0,0,0,1494.74,699.67,795.07,0,0,0,1494.74,15.6837694039594,2.85107192895938,12.832697475,0,895,0,Yes,Yes,,137528.726819625,121.215253290408,3786.47316444475,0
640 Campbells Run Rd,2020-04-01,137641.4946424,4727.98787878077,118.2,0,0,0,1012.83,555.89,456.94,0,0,0,1012.83,9.13057603148787,2.02226443148787,7.1083116,0,511,0,Yes,Yes,,142250.494462998,122.15799086758,4886.30710759839,0
640 Campbells Run Rd,2020-06-01,19449.0139127,5175.35294117819,1.74193548385214,0,0,0,590.7,582.51,8.19,0,0,0,590.7,2.31836882683452,2.21361231070662,0.1047565161279,0,13,165,Yes,Yes,,57323.3209539311,5.13411771260517,15253.648284107,0
Goblers Nob,2021-12-01,0.0015053,0.000441178194607268,0,0,0,0,12.69,12.69,0,0,0,0,12.69,1.8870161975381e-07,1.8870161975381e-07,0,0,726,0,,,,0.0010542695725049,0,0.000308988737545397,0
Third Avenue Attendant's Booth,2021-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,,,,0,0,0,0
Light: Cornell Avenue Bridge,2021-10-01,1136.0607801,332.960369314185,0,0,0,0,57.89,57.89,0,0,0,0,57.89,0.142414475083802,0.142414475083802,0,0,194,34,,,,,,,
Settler's Cabin Wave Pool,2021-08-01,339043.2520533,99367.8933333236,0,0,34.6368,34.6368,11569.17,11569.17,0,0,556.17,532.2,12657.54,42.5018340723158,42.5018340723158,0,0,0,291,,,,602163.46867355,0,176484.0177824,0
Poll Moni: Sylvan,2022-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,14,,,,0,0,0,0
Settlers Cabin Hydrant Meter - Wave Pool,2021-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,,,,0,0,0,0
Poll Moni: Sylvan,2022-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,156,,,,0,0,0,0
Poll Moni: Sylvan,2022-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,,,,0,0,0,0
Deer Lakes Water Pump,2015-04-01,0,0,0,0,679,0,5.59,5.59,0,0,2647.27,0,2652.86,0,0,0,0,353,1,,,,0,0,0,0
Deer Lakes Water Pump,2015-06-01,18.3542069,5.37931034583822,0,0,641,0,7.33,7.33,0,0,2499.83,0,2507.16,0.0026601281384308,0.0026601281384308,0,0,24,190,,,,67.6532635641122,0,19.8280373869027,0
Deer Lakes Water Pump,2015-08-01,41.6043871,12.1935483880422,0,0,602,0,7.89,7.89,0,0,2348.51,0,2356.4,0.00602984380691914,0.00602984380691914,0,0,5,207,,,,123.91603165903,0,36.3177115061634,0
Deer Lakes Water Pump,2015-10-01,22.3544828,6.55172415005862,0,0,578,0,8.17,8.17,0,0,2255.39,0,2263.56,0.00323989966116964,0.00323989966116964,0,0,329,0,,,,36.4345606189801,0,10.6783589152931,0
Deer Lakes Water Pump,2015-12-01,40.944,12,0,0,566,0,7.77,7.77,0,0,2208.83,0,2216.6,0.005934132,0.005934132,0,0,618,0,,,,33.9573804060018,0,9.95233892321271,0
Deer Lakes Water Pump,2016-04-01,15.9226667,4.66666667643611,0,0,684,0,4,4,0,0,2776.61,0,2780.61,0.0019960360041786,0.0019960360041786,0,0,400,1,,,,23.3479501735661,0,6.84289278240507,0
Deer Lakes Water Pump,2016-06-01,39.2968276,11.5172413833529,0,0,728,0,7.93,7.93,0,0,2954.37,0,2962.3,0.00492617751897046,0.00492617751897046,0,0,13,216,,,,95.5014862377601,0,27.9898845948887,0
Deer Lakes Water Pump,2016-08-01,40.8984561,11.9866518464244,0,0,819,0,7.85,7.85,0,0,3322.01,0,3329.86,0.00512695470105633,0.00512695470105633,0,0,0,345,,,,62.5175484549199,0,18.322845385381,0
Deer Lakes Water Pump,2016-10-01,41.4628756,12.1520737397421,0,0,784,0,7.99,7.99,0,0,3180.61,0,3188.6,0.00519770928410996,0.00519770928410996,0,0,271,22,,,,70.9781356565578,0,20.8025016578423,0
Deer Lakes Water Pump,2016-12-01,40.370431,11.8318965416178,0,0,855,0,15.42,15.42,0,0,3640.82,0,3656.24,0.00506076245257386,0.00506076245257386,0,0,956,0,,,,20.8865755437511,0,6.12150514177934,0
Deer Lakes Water Pump,2017-03-01,42.0289216,12.3179723329426,0,0,980,0,11.04,11.04,0,0,4090.55,0,4101.59,0.00526866776219086,0.00526866776219086,0,0,762,2,,,,29.4502899592428,0,8.63138627175937,0
Deer Lakes Water Pump,2017-05-01,24.8588571,7.28571427315358,0,0,1269.5484,0,11.34,11.34,0,0,5195.85,0,5207.19,0.00311626028034179,0.00311626028034179,0,0,172,46,,,,60.8846516456422,0,17.8442707050534,0
Deer Lakes Water Pump,2017-07-01,0,0,0,0,1010,0,26.96,26.96,0,0,4211.15,0,4238.11,0,0,0,0,0,274,,,,0,0,0,0
Deer Lakes Water Pump,2018-10-01,10.9184,3.2,0,0,1251,0,8,8,0,0,5412.48,0,5420.48,0.0013687104,0.0013687104,0,0,400,52,,,,12.087001612586,0,3.54249754178958,0
Deer Lakes Water Pump,2018-12-01,40.944,12,0,0,1179,0,9.41,9.41,0,0,5125.92,0,5135.33,0.005132664,0.005132664,0,0,890,0,,,,23.2802317953622,0,6.82304566100884,0
Fire Training School,2021-11-01,419021.9544754,42053.2911709848,268.03125,0,0,0,5433.35,3644.03,1789.32,0,0,0,5433.35,34.1059811187359,17.9871178062359,16.1188633125,0,712,0,Yes,Yes,,298594.869912765,190.478291890758,29885.4669768315,0
Harrison Hills Park,2021-12-01,15.988686,4.68601582649472,0,0,216.73,0,0.64,0.64,0,0,1048.3,0,1048.94,0.00200431206133998,0.00200431206133998,0,0,726,0,,,,11.1980237521657,0,3.28195303404621,0
Warehouse 3,2022-08-01,10808.5269861,3050.39902371043,0.389655172373541,0,8.7188,8.7188,510.18,403.25,106.93,0,108.77,187.54,806.49,1.32815585397567,1.30472277121947,0.0234330827562,0,0,217,Yes,Yes,,14186.2722643851,0.845820736973355,7238.49941014063,0
Warehouse 3,2022-10-01,94457.795194,2598.52306896249,83.2603448275292,0,6.3221,6.3221,977.84,281.57,696.27,0,84.32,144.26,1206.42,6.11855610134072,1.11144548410277,5.00711061723795,0,421,0,Yes,Yes,,112263.380296935,100.464926375646,3135.84186359688,0
1 Wave Pool Complex Sewage,2022-08-01,0,0,0,0,0,31765.2286,0,0,0,0,0,28604.27,28604.27,0,0,0,0,0,217,,,,0,0,0,0
1 Wave Pool Complex Sewage,2022-10-01,0,0,0,0,0,26372.42,0,0,0,0,0,23856.6,23856.6,0,0,0,0,421,0,,,,0,0,0,0
S Side Garage,2021-09-01,59890.5060269,10593.1143103458,23.1,0,5,5,1276.53,1099.44,177.09,0,458.1,51.87,1786.5,5.92009583904974,4.53090803904974,1.3891878,0,47,95,,Yes,,,,,
Hartwood Acres Concert Area,2022-02-01,0,0,0,0,0,0,0,0,0,0,49.46,0,49.46,0,0,0,0,895,0,,,,0,0,0,0
Hartwood Acres Concert Area,2022-09-01,0,0,0,0,2.9851,0,0,0,0,0,65.79,0,65.79,0,0,0,0,95,78,,,,0,0,0,0
Hartwood Acres Concert Area,2022-11-01,0,0,0,0,0,0,0,0,0,0,28.39,0,28.39,0,0,0,0,593,4,,,,0,0,0,0
Mahaffey Rd Pumping Station,2022-04-01,8889.5994589,2605.39257294842,0,0,666.5419,0,180.88,180.88,0,0,4091.23,0,4272.11,1.11438372208664,1.11438372208664,0,0,484,14,,,,9383.87645415666,0,2750.25687402013,0
40th St Bridge,2018-05-01,8113.3098999,0,7.89232480535019,0,0,0,57.31,0,57.31,0,54.94,5.35,117.6,0.47462862914415,0,0.47462862914415,0,19,146,,Yes,,26310.4805738727,25.5938526983197,0,0
40th St Bridge,2018-07-01,1782.7509679,0,1.73419354854086,0,0,0,9.59,0,9.59,0,53.17,8.38,71.14,0.10429093162215,0,0.10429093162215,0,0,268,,Yes,,3447.98228244341,3.35406836813562,0,0
40th St Bridge,2019-02-01,204699.5821429,0,199.124107142899,0,0,0,1529.63,0,1529.63,0,53.6,5.43,1588.66,11.9749255553596,0,11.9749255553596,0,862,0,,Yes,,125079.111594444,121.672287543233,0,0
40th St Bridge,2019-09-01,994.8387096,0,0.96774193540856,0,2.7607,2.7607,8.33,0,8.33,0,74.13,27.49,109.95,0.0581980645116,0,0.0581980645116,0,6,132,,Yes,,3698.07603657857,3.5973502301348,0,0
40th St Bridge,2019-11-01,149092.125,0,145.03125,0,2.2552,2.2552,985.39,0,985.39,0,66.24,23.56,1075.19,8.7218893125,0,8.7218893125,0,799,0,,Yes,,93932.9932593544,91.3745070616288,0,0
40th St Bridge,2020-01-01,207450.4,0,201.8,0,4.8485,4.8485,1302.89,0,1302.89,0,110.01,46.79,1459.69,12.1358484,0,12.1358484,0,904,0,,Yes,,118148.051371681,114.930011061947,0,0
Mahaffey Rd Pumping Station,2022-06-01,7620.7536969,2233.51515149472,0,0,598.7788,0,142.28,142.28,0,0,4089.03,0,4231.31,0.955323567627626,0.955323567627626,0,0,15,156,,,,23236.3134602108,0,6810.17393323878,0
Mahaffey Rd Pumping Station,2022-08-01,7926.5025,2323.125,0,0,720.2334,0,145.8,145.8,0,0,4229.19,0,4374.99,0.99365167125,0.99365167125,0,0,0,217,,,,18809.3371472882,0,5512.70139135059,0
Mahaffey Rd Pumping Station,2022-10-01,8970.7572857,2629.17857142438,0,0,657.4232,0,167.18,167.18,0,0,4314.62,0,4481.8,1.12455751692678,1.12455751692678,0,0,421,0,,,,10825.7173394641,0,3172.83626596252,0
Light: Thompson Ave,2021-11-01,429.912,126,0,0,0,0,19.86,19.86,0,0,0,0,19.86,0.053892972,0.053892972,0,0,712,0,,,,,,,
Emergency Ctr,2015-02-01,1962.9425556,575.305555568582,0,0,0,0,60.57,60.57,0,0,0,0,60.57,0.284494925589775,0.284494925589775,0,0,1280,0,,,,1847.92639023281,0,541.596245671985,0
Emergency Ctr,2015-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,170,,,,0,0,0,0
"840 County Ln, Well charge 103",2015-10-01,0,0,0,0,0,0,0,0,0,0,0,15.1,15.1,0,0,0,0,329,0,,,,0,0,0,0
"840 County Ln, Well charge 103",2015-12-01,0,0,0,0,0,0,0,0,0,0,0,78.03,78.03,0,0,0,0,618,0,,,,0,0,0,0
"840 County Ln, Well charge 103",2016-04-01,0,0,0,0,0,0,0,0,0,0,76.34,0,76.34,0,0,0,0,400,1,,,,0,0,0,0
"840 County Ln, Well charge 103",2016-06-01,0,0,0,0,0,0,0,0,0,0,76.34,0,76.34,0,0,0,0,13,216,,,,0,0,0,0
"840 County Ln, Well charge 103",2016-08-01,0,0,0,0,0,0,0,0,0,0,73.25,0,73.25,0,0,0,0,0,345,,,,0,0,0,0
"840 County Ln, Well charge 103",2016-10-01,0,0,0,0,0,0,0,0,0,0,47.56,0,47.56,0,0,0,0,271,22,,,,0,0,0,0
"840 County Ln, Well charge 103",2016-12-01,0,0,0,0,0,0,0,0,0,0,26.01,0,26.01,0,0,0,0,956,0,,,,0,0,0,0
"840 County Ln, Well charge 103",2017-03-01,0,0,0,0,0,0,0,0,0,0,28.99,0,28.99,0,0,0,0,762,2,,,,0,0,0,0
Park Mgr Resid,2021-09-01,503.0935172,147.448275849941,0,0,0,0,21.75,21.75,0,0,0,0,21.75,0.0630668714430886,0.0630668714430886,0,0,47,95,,,,1821.10110218144,0,533.734203452942,0
Light: 10th St Bridge Mon Rvr,2021-11-01,25223.6235579,7392.62120688746,0,0,0,0,685.14,685.14,0,0,0,0,685.14,3.16198672785232,3.16198672785232,0,0,712,0,,,,,,,
Light: Hartwood Acres Amphitheater,2021-11-01,11870.9230397,3479.1685344959,0,0,0,0,373.25,373.25,0,0,0,0,373.25,1.48811692391165,1.48811692391165,0,0,712,0,,,,,,,
Light: Suttersville Bridge,2022-01-01,1256.6616892,368.306473974209,0,0,0,0,40.94,40.94,0,0,0,0,40.94,0.157532781661196,0.157532781661196,0,0,1244,0,,,,,,,
Light: Hartwood Acres Middle Rd Ent,2021-11-01,0,0,0,0,0,0,13.3,13.3,0,0,0,0,13.3,0,0,0,0,712,0,,,,,,,
Poll Moni: Wash Blvd,2022-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,14,,,,0,0,0,0
Poll Moni: Wash Blvd,2022-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,156,,,,0,0,0,0
Poll Moni: Wash Blvd,2022-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,,,,0,0,0,0
Poll Moni: Wash Blvd,2022-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,,,,0,0,0,0
Public Works Salt Dome,2022-02-01,0,0,0,0,0,0,0,0,0,0,115.92,0,115.92,0,0,0,0,895,0,,,,0,0,0,0
District 4/Lovedale Hollow Road,2015-11-01,0,0,0,0,0.9,4.004,0,0,0,0,39.86,86.24,126.1,0,0,0,0,481,2,,,,0,0,0,0
District 4/Lovedale Hollow Road,2016-01-01,0,0,0,0,11.3104,5.6075,0,0,0,0,326.11,500.05,826.16,0,0,0,0,1160,0,,,,0,0,0,0
District 4/Lovedale Hollow Road,2016-09-01,0,0,0,0,3.4838,4.004,0,0,0,0,130.18,97.44,227.62,0,0,0,0,14,154,,,,0,0,0,0
District 4/Lovedale Hollow Road,2016-11-01,0,0,0,0,3.6207,3.704,0,0,0,0,144.41,86.24,230.65,0,0,0,0,547,3,,,,0,0,0,0
